spkid,full_name,a,e,i,om,w,q,ad,per_y,H,rot_per,spec_B,spec_T,n,per,class,producer,first_obs,diameter
2000001,     1 Ceres,2.765348506,0.079138255,10.58682161,80.39319902,72.58981198,2.546503651,2.984193361,4.598678087,3.34,9.07417,C,G,0.214328175,1679.667171,MBA,Alan B. Chamberlin,1802-01-27,952.4
2000002,     2 Pallas,2.772153211,0.23099956,34.8409036,173.1294969,310.1509425,2.13178704,3.412519382,4.615662507,4.13,7.8132,B,B,0.213539504,1685.870731,MBA,Alan B. Chamberlin,1825-03-23,545
2000003,     3 Juno,2.670734109,0.255305391,12.97936966,169.882783,248.3098638,1.988881293,3.352586925,4.364697822,5.33,7.21,Sk,S,0.22581776,1594.205879,MBA,Otto Matic,1824-04-18,233.92
2000004,     4 Vesta,2.361912323,0.088622585,7.134062579,103.9096808,149.8373993,2.152593547,2.5712311,3.629976892,3.2,5.342,V,V,0.271524121,1325.84906,MBA,Alan B. Chamberlin,1827-12-11,530
2000005,     5 Astraea,2.574755183,0.190741515,5.367230016,141.5972192,358.8509353,2.083642479,3.065867887,4.131541446,6.85,16.8,S,S,0.238561393,1509.045513,MBA,Otto Matic,1845-12-15,119.07
2000006,     6 Hebe,2.425830603,0.20175424,14.74653992,138.7104438,239.3771523,1.936408993,2.915252212,3.778321486,5.71,7.2745,S,S,0.260863531,1380.031923,MBA,Otto Matic,1848-09-08,185.18
2000007,     7 Iris,2.386283142,0.23046934,5.524500313,259.6371489,145.3809994,1.836318041,2.936248244,3.686304124,5.51,7.139,S,S,0.267375195,1346.422581,MBA,Otto Matic,1848-08-23,199.83
2000008,     8 Flora,2.20171132,0.156203345,5.887845986,110.9221808,285.3299957,1.857796647,2.545625993,3.266997223,6.49,12.865,,S,0.301691803,1193.270736,MBA,Otto Matic,1847-11-03,135.89
2000009,     9 Metis,2.385914524,0.122696168,5.575230887,68.94446625,5.820534145,2.093171955,2.678657094,3.685450001,6.28,5.079,,S,0.26743716,1346.110613,MBA,Otto Matic,1822-04-16,190
2000010,    10 Hygiea,3.137034825,0.116108727,3.841901468,283.4181408,312.7581369,2.772797705,3.501271944,5.556319518,5.43,27.623,C,C,0.177388338,2029.445704,MBA,Otto Matic,1849-05-26,407.12
2000011,    11 Parthenope,2.453026163,0.098849057,4.626079419,125.5907116,195.3211745,2.210546841,2.695505486,3.842036379,6.55,13.7204,Sk,S,0.256537468,1403.303787,MBA,Otto Matic,1850-09-17,153.33
2000012,    12 Victoria,2.33314224,0.221337157,8.369396326,235.4909883,69.6219467,1.81673117,2.84955331,3.563855008,7.24,8.6599,L,S,0.276561836,1301.698042,MBA,Otto Matic,1850-09-18,112.77
2000013,    13 Egeria,2.576076708,0.083884361,16.54097347,43.25664079,79.85218262,2.35998416,2.792169257,4.134722703,6.74,7.045,Ch,G,0.238377844,1510.207467,MBA,Otto Matic,1850-11-21,207.64
2000014,    14 Irene,2.586095383,0.165717371,9.11892233,86.16461566,97.9547537,2.157534454,3.014656312,4.158866797,6.3,15.028,S,S,0.236993953,1519.026098,MBA,Otto Matic,1851-05-20,152
2000015,    15 Eunomia,2.642681236,0.188009821,11.73888279,293.1943683,97.57373953,2.14583121,3.139531262,4.296109814,5.28,6.083,S,S,0.229422972,1569.154109,MBA,Otto Matic,1851-09-02,255.33
2000016,    16 Psyche,2.922733523,0.136757806,3.098484627,150.2888508,227.1229949,2.5230269,3.322440147,4.996800767,5.9,4.196,X,M,0.197251467,1825.08148,MBA,Otto Matic,1852-03-17,253.16
2000017,    17 Thetis,2.469757908,0.133961371,5.588522067,125.5904664,135.4642567,2.138905752,2.800610063,3.881412313,7.76,12.27048,Sl,S,0.253934961,1417.685847,MBA,Otto Matic,1852-04-23,90.04
2000018,    18 Melpomene,2.295542684,0.218098313,10.12778248,150.4947314,228.0253566,1.794888698,2.79619667,3.478053524,6.51,11.57,S,S,0.28338445,1270.35905,MBA,Otto Matic,1856-09-26,140.57
2000019,    19 Fortuna,2.441881301,0.157855654,1.57340394,211.2339837,182.402502,2.056416532,2.82734607,3.815882788,7.13,7.4432,Ch,G,0.258295744,1393.751188,MBA,Otto Matic,1852-09-14,200
2000020,    20 Massalia,2.408515038,0.142595556,0.708188619,206.194746,256.7979173,2.065071498,2.751958579,3.73793931,6.5,8.098,S,S,0.263681725,1365.282333,MBA,Otto Matic,1853-12-26,145.5
2000021,    21 Lutetia,2.435358932,0.164030163,3.064052015,80.89011083,250.2998768,2.035886609,2.834831254,3.800604423,7.35,8.1655,Xk,M,0.259334088,1388.170765,MBA,Otto Matic,1866-04-06,95.76
2000022,    22 Kalliope,2.909273047,0.100237675,13.71878595,66.08319397,354.7443716,2.61765428,3.200891814,4.962321836,6.45,4.148,X,M,0.198621999,1812.48805,MBA,Otto Matic,1854-04-14,181
2000023,    23 Thalia,2.625610311,0.235095058,10.11475471,66.89191304,60.75092829,2.008342303,3.242878319,4.254549746,6.95,12.312,S,S,0.231664064,1553.974295,MBA,Otto Matic,1856-10-19,107.53
2000024,    24 Themis,3.138425408,0.126937287,0.752438119,35.97955068,106.4708166,2.740042203,3.536808614,5.560014433,7.08,8.374,B,C,0.177270454,2030.795272,MBA,Otto Matic,1853-04-27,198
2000025,    25 Phocaea,2.399769054,0.255794778,21.59207162,214.2314123,90.0707827,1.785920662,3.013617445,3.717597566,7.83,9.9341,S,S,0.265124524,1357.852511,MBA,Otto Matic,1860-03-11,75.13
2000026,    26 Proserpina,2.654610876,0.090005011,3.564011474,45.79869419,194.4183034,2.415682596,2.893539156,4.325232984,7.5,13.11,S,S,0.227878195,1579.791347,MBA,Otto Matic,1861-01-31,94.8
2000027,    27 Euterpe,2.346618933,0.172454319,1.583795973,94.79952776,356.4267638,1.941934363,2.751303503,3.594777856,7,10.4082,S,S,0.274182807,1312.992612,MBA,Otto Matic,1853-11-10,96
2000028,    28 Bellona,2.776598668,0.151063643,9.431256502,144.3230496,344.4766239,2.357155559,3.196041777,4.62676955,7.09,15.706,S,S,0.21302688,1689.927578,MBA,Otto Matic,1856-09-29,120.9
2000029,    29 Amphitrite,2.554143911,0.072552062,6.090244095,356.4381914,61.77495204,2.368835504,2.739452318,4.082030521,5.85,5.3921,S,S,0.241454903,1490.961648,MBA,Otto Matic,1855-07-25,212.22
2000030,    30 Urania,2.365215239,0.127156,2.098014777,307.6446889,86.69760896,2.06446393,2.665966549,3.637593835,7.53,13.686,Sl,S,0.270955562,1328.631148,MBA,Otto Matic,1860-02-22,100.15
2000031,    31 Euphrosyne,3.153370865,0.222290537,26.3166331,31.15239301,61.2873278,2.452406363,3.854335366,5.599777591,6.74,5.53,Cb,C,0.176011684,2045.318765,MBA,Otto Matic,1860-10-25,255.9
2000032,    32 Pomona,2.588765779,0.081340643,5.52763454,220.5393626,338.4229656,2.378193904,2.799337653,4.165310112,7.56,9.448,S,S,0.236627348,1521.379518,MBA,Otto Matic,1864-01-07,80.76
2000034,    34 Circe,2.686867349,0.104470645,5.498358262,184.4417358,330.1752798,2.406168584,2.967566114,4.404306566,8.51,12.15,Ch,C,0.223786939,1608.672973,MBA,Otto Matic,1864-04-28,113.54
2000035,    35 Leukothea,2.990156563,0.227167626,7.935458973,353.7897996,213.6348167,2.310889796,3.669423331,5.170697068,8.5,31.9,C,C,0.190617681,1888.597104,MBA,Otto Matic,1860-03-11,103.11
